FORECAST_REFERENCE_TIME,LEADTIME_MONTH,TARGET_YM,T2M_C_MEAN,PRCP_MM_PER_MONTH_MEAN,ENSEMBLE_MEMBERS,GRID_POINTS,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX
2026-06-01,1,2026-06,27.464413278332188,186.94288950382162,51,8568,0.5,7.5,99.5,119.5
2026-06-01,2,2026-07,27.51995014151496,178.62346716921684,51,8568,0.5,7.5,99.5,119.5
2026-06-01,3,2026-08,27.801211881236892,152.72312568199328,51,8568,0.5,7.5,99.5,119.5
2026-06-01,4,2026-09,27.803913612971254,180.98199164823575,51,8568,0.5,7.5,99.5,119.5
2026-06-01,5,2026-10,27.33437363226543,254.348389209569,51,8568,0.5,7.5,99.5,119.5
2026-06-01,6,2026-11,27.098426649305576,303.7806150323453,51,8568,0.5,7.5,99.5,119.5
