Date,T2M_West,PRCP_West,T2M_DEV_West,PRCP_DEV_West,T2M_Sarawak,PRCP_Sarawak,T2M_DEV_Sarawak,PRCP_DEV_Sarawak,T2M_Sabah,PRCP_Sabah,T2M_DEV_Sabah,PRCP_DEV_Sabah,T2M_NAT,PRCP_NAT,T2M_DEV_NAT,PRCP_DEV_NAT
2007-01,24.914259259259257,276.12796296296295,-0.1652046783625778,45.15100389863548,24.340666666666664,458.7251111111111,-0.03881871345029708,34.3115321637427,24.169615384615383,429.4223076923077,-0.054331983805667505,107.97686234817814,25.902656250000003,239.665,-0.3183744517543836,28.24148574561403
2007-02,25.166851851851852,101.50703703703704,-0.233859649122806,-31.242777777777775,24.29288888888889,326.9862222222222,-0.13812865497076032,30.260573099415126,24.204615384615387,101.93423076923077,-0.05645748987853949,-84.69769230769231,26.088541666666668,71.00390625,-0.2794298245614044,-36.99599232456141
2007-03,25.88240740740741,169.13537037037037,-0.23104288499025216,-24.433830409356716,24.770222222222223,159.41155555555554,0.03010526315789619,-133.43376608187134,24.581923076923076,164.63115384615384,-0.15615384615384897,-24.10445344129556,27.038802083333334,117.64927083333333,-0.04826480263158217,-12.775923793859675
2007-04,26.457592592592594,250.4075925925926,-0.29706627680311826,43.403596491228086,24.955333333333332,243.50400000000002,-0.1363157894736844,-31.849590643274837,25.17961538461538,136.38346153846155,-0.11661943319838386,-46.958724696356285,27.704687500000002,155.52276041666667,-0.24494517543859473,23.22980811403511
2007-05,26.48851851851852,168.7537037037037,-0.46796296296295736,-37.31399610136452,25.20866666666667,234.3617777777778,-0.14899415204678235,-22.782736842105265,25.421538461538464,201.51653846153846,-0.10623481781376043,-13.442246963562752,27.8715625,149.55348958333335,-0.5610635964912305,-9.550252192982441
2007-06,26.30537037037037,171.18759259259258,-0.16155945419103546,-8.085233918128665,24.85111111111111,348.98755555555556,-0.09432748538011637,93.04039766081871,25.105,244.37769230769229,0.09161943319838173,26.536923076923046,27.807187499999998,204.12854166666668,-0.3502741228070221,33.93997807017544
2007-07,25.82037037037037,212.7414814814815,-0.33040935672514493,39.44862573099414,24.701777777777775,329.2417777777778,-0.04574269005848208,101.07720467836262,24.470384615384617,282.0246153846154,-0.25240890688258943,51.05665991902839,27.4090625,230.98671875,-0.43060855263157904,53.00536184210526
2007-08,25.720555555555556,186.2635185185185,-0.3857309941520448,-22.551754385964927,24.592444444444446,206.49755555555555,-0.19467836257309656,-68.15890058479533,24.398846153846154,209.89576923076922,-0.413299595141698,-25.29493927125509,27.21348958333333,165.45583333333335,-0.4775904605263186,-15.744218749999987
2007-09,25.79314814814815,223.1424074074074,-0.29816764132553786,0.8425828460038929,24.635777777777776,272.8348888888889,-0.20015204678362863,12.432573099415208,24.59730769230769,264.2484615384615,-0.28176113360323995,32.14495951417004,27.207447916666666,209.04671875,-0.4268996710526345,14.78313048245613
2007-10,25.674444444444447,387.47222222222223,-0.40985380116958936,114.21359649122803,24.654222222222224,293.00377777777777,-0.1150292397660806,-27.012152046783626,24.677692307692308,298.4746153846154,-0.18429149797571043,40.468421052631584,27.034010416666664,316.81171875,-0.5506551535087709,80.41785361842105
2007-11,25.365555555555556,243.0648148148148,-0.4317446393762161,-161.25569200779725,24.10111111111111,348.7146666666667,-0.5874619883040957,-25.983169590643286,24.136153846153846,265.8123076923077,-0.6755668016194321,-6.215000000000032,26.617447916666666,206.12020833333335,-0.6465515350877169,-116.78169956140354
2007-12,24.850740740740743,295.0525925925926,-0.44425925925925824,-93.44558479532168,24.30222222222222,509.6095555555556,-0.24973099415204913,97.8798596491228,24.220384615384617,260.7965384615385,-0.39145748987854034,-41.2027935222672,26.074739583333336,298.84671875,-0.6229111842105226,-35.119002192982464
2008-01,25.150370370370368,193.4938888888889,0.07090643274853292,-37.48307017543857,24.290888888888887,330.1226666666667,-0.08859649122807411,-94.29091228070172,24.005,184.3926923076923,-0.2189473684210519,-137.05275303643725,26.01109375,166.56234375,-0.20993695175438631,-44.86117050438597
2008-02,24.81962962962963,152.7440740740741,-0.5810818713450274,19.99425925925928,23.858444444444448,324.96155555555555,-0.5725730994152016,28.235906432748493,23.845769230769232,381.4607692307692,-0.41530364372469464,194.82884615384611,25.974322916666665,128.63942708333335,-0.3936485745614071,20.63952850877193
2008-03,25.43388888888889,293.7764814814815,-0.6795614035087709,100.2072807017544,24.26955555555556,406.6428888888889,-0.47056140350876774,113.797567251462,24.208846153846157,316.9384615384615,-0.5292307692307681,128.20285425101213,26.27354166666667,200.32848958333332,-0.8135252192982456,69.90329495614031
2008-04,26.212962962962962,189.24814814814815,-0.54169590643275,-17.755847953216374,24.611555555555555,308.01,-0.4800935672514619,32.656409356725135,24.904999999999998,219.44461538461536,-0.3912348178137677,36.10242914979753,27.440572916666667,129.48614583333332,-0.5090597587719294,-2.8068064692982375
2008-05,26.18185185185185,135.37537037037038,-0.7746296296296293,-70.69232943469785,24.744888888888887,221.98355555555557,-0.6127719298245644,-35.1609590643275,24.676538461538463,212.23307692307694,-0.8512348178137614,-2.7257085020242755,27.748593749999998,122.36380208333333,-0.6840323464912323,-36.73993969298246
2008-06,25.953333333333333,187.60092592592594,-0.5135964912280713,8.32809941520469,24.544888888888888,266.224,-0.40054970760233743,10.276842105263142,24.41923076923077,252.67423076923075,-0.5941497975708501,34.833461538461506,27.543333333333333,163.53604166666668,-0.6141282894736868,-6.652521929824559
2008-07,25.53333333333333,207.13425925925927,-0.617446393762183,33.84140350877192,24.205555555555556,304.8568888888889,-0.5419649122807009,76.69231578947367,24.287692307692307,246.81807692307694,-0.4351012145748996,15.850121457489934,27.107760416666665,205.73416666666665,-0.7319106359649155,27.752809758771917
2008-08,25.76851851851852,234.02314814814815,-0.33776803118908205,25.207875243664716,24.435555555555553,340.5008888888889,-0.3515672514619901,65.844432748538,24.41846153846154,210.10807692307694,-0.3936842105263132,-25.08263157894737,27.231354166666666,189.24869791666666,-0.45972587719298375,8.048645833333325
2008-09,25.74074074074074,237.6962962962963,-0.35057504873294576,15.396471734892799,24.641333333333336,301.7075555555556,-0.19459649122806866,41.30523976608191,24.601923076923075,220.42615384615385,-0.2771457489878557,-11.677348178137635,27.325625000000002,214.28854166666667,-0.3087225877192985,20.024953399122808
2008-10,26.045185185185186,282.9922222222222,-0.03911306042884988,9.733596491228013,24.617555555555555,418.64066666666673,-0.15169590643274944,98.62473684210534,24.896538461538462,353.8438461538462,0.03455465587044415,95.83765182186238,27.407552083333332,243.010625,-0.17711348684210293,6.616759868421042
2008-11,25.705555555555552,437.0153703703704,-0.0917446393762198,32.69486354775836,24.645999999999997,376.53822222222226,-0.042573099415207594,1.8403859649122865,24.713076923076922,306.4638461538462,-0.0986437246963554,34.436538461538476,27.192864583333332,362.1596875,-0.07113486842105132,39.257779605263124
2008-12,24.90092592592593,354.5609259259259,-0.3940740740740729,-33.93725146198835,24.360444444444447,452.6653333333333,-0.19150877192982207,40.93563742690054,24.366923076923076,208.22807692307694,-0.24491902834008172,-93.77125506072875,26.29822916666667,359.86442708333334,-0.39942160087719003,25.898706140350896
2009-01,24.36962962962963,234.64962962962963,-0.7098343079922032,3.6726705653021554,23.84777777777778,704.7537777777777,-0.531707602339182,280.3401988304093,24.040384615384614,515.6980769230769,-0.183562753036437,194.25263157894733,25.5234375,227.12536458333332,-0.6975932017543869,15.701850328947359
2009-02,25.314444444444444,119.00481481481482,-0.0862670565302146,-13.74499999999999,24.177555555555557,313.13444444444445,-0.2534619883040925,16.4087953216374,24.125384615384615,362.5884615384615,-0.13568825910931182,175.95653846153843,26.03703125,94.1515625,-0.330940241228074,-13.848336074561416
2009-03,25.72277777777778,304.1190740740741,-0.39067251461988306,110.54987329434701,24.422444444444444,384.2613333333333,-0.31767251461988266,91.41601169590643,24.595384615384617,257.0853846153846,-0.14269230769230745,68.34977732793521,26.895729166666666,193.11317708333334,-0.19133771929825016,62.68798245614033
2009-04,26.337592592592593,190.0998148148148,-0.41706627680311925,-16.904181286549715,25.064666666666668,312.874,-0.026982456140348887,37.52040935672517,24.95423076923077,176.79076923076926,-0.3420040485829965,-6.551417004048574,27.753645833333334,129.2471875,-0.1959868421052633,-3.0457648026315667
