Date,Production,Mature_Area,Immature_Area,Total_Area,Yield,Trend,ONI_lag12,PRCP,TAVG,PRCP_CLIM,TAVG_CLIM,PRCP_DEV,TAVG_DEV,PRCP_DEV_3m,TAVG_DEV_3m,Month
2015-01,1160687,4859397.0,783546.0,5642943.0,0.23885412120063457,0,-0.28,150.272,25.725,211.4235789473684,26.221052631578946,-61.15157894736842,-0.4960526315789444,14.005578947368425,-0.19621052631578925,1.0
2015-02,1121628,4859397.0,783546.0,5642943.0,0.230816292638778,1,-0.32,65.475,25.887,107.99978947368422,26.368052631578948,-42.52478947368422,-0.4810526315789474,3.516298245614015,-0.32622807017543803,2.0
2015-03,1495151,4859397.0,783546.0,5642943.0,0.3076824140937651,2,-0.14,69.493,26.923,130.4251052631579,27.087105263157895,-60.932105263157894,-0.16410526315789653,-54.86949122807018,-0.38040350877192947,3.0
2015-04,1693425,4859397.0,783546.0,5642943.0,0.34848459592826025,3,0.15,124.514,27.853,132.293,27.949789473684213,-7.779000000000011,-0.0967894736842112,-37.07863157894737,-0.24731578947368504,4.0
2015-05,1810530,4859397.0,783546.0,5642943.0,0.3725832649606525,4,0.31,109.935,28.4,159.10384210526317,28.43263157894737,-49.16884210526317,-0.03263157894737034,-39.29331578947369,-0.09784210526315935,5.0
2015-06,1763667,4859397.0,783546.0,5642943.0,0.3629394758238522,5,0.23,151.556,28.196,170.18857894736843,28.15736842105263,-18.632578947368415,0.03863157894737057,-25.19347368421053,-0.03026315789473699,6.0
2015-07,1815631,4859397.0,783546.0,5642943.0,0.37363298368089704,6,0.1,113.99,27.892,177.9814210526316,27.839684210526315,-63.991421052631594,0.05231578947368476,-43.93094736842105,0.019438596491228328,7.0
2015-08,2051000,4859397.0,783546.0,5642943.0,0.4220688287044668,7,0.11,220.792,27.649,181.2001052631579,27.69105263157895,39.59189473684211,-0.04205263157894734,-14.3440350877193,0.016298245614035995,8.0
2015-09,1959064,4859397.0,783546.0,5642943.0,0.40314960889180285,8,0.28,130.872,27.736,194.26363157894738,27.634315789473685,-63.39163157894737,0.10168421052631516,-29.26371929824562,0.03731578947368419,9.0
2015-10,2037466,4859397.0,783546.0,5642943.0,0.41928370948082655,9,0.54,171.325,27.834,236.39394736842104,27.58478947368421,-65.06894736842105,0.24921052631578888,-29.622894736842103,0.10294736842105223,10.0
2015-11,1653068,4859397.0,783546.0,5642943.0,0.3401796560355122,10,0.71,303.358,27.433,322.901947368421,27.264,-19.543947368421016,0.16900000000000048,-49.33484210526314,0.17329824561403484,11.0
2015-12,1399383,4859397.0,783546.0,5642943.0,0.28797461907310723,11,0.77,211.576,27.363,333.9657368421053,26.697578947368424,-122.3897368421053,0.6654210526315758,-69.00087719298246,0.36121052631578837,12.0
2016-01,1129747,5001438.0,736547.0,5737985.0,0.225884435636311,12,0.69,108.775,27.469,211.4235789473684,26.221052631578946,-102.6485789473684,1.2479473684210554,-81.52742105263157,0.6941228070175439,1.0
2016-02,1042707,5001438.0,736547.0,5737985.0,0.20848144073764385,13,0.61,142.837,26.95,107.99978947368422,26.368052631578948,34.83721052631577,0.5819473684210514,-63.40036842105264,0.8317719298245608,2.0
2016-03,1219449,5001438.0,736547.0,5737985.0,0.24381967746076227,14,0.65,61.419,27.556,130.4251052631579,27.087105263157895,-69.00610526315789,0.46889473684210614,-45.605824561403516,0.7662631578947376,3.0
2016-04,1301291,5001438.0,736547.0,5737985.0,0.2601833712624249,15,0.81,70.752,28.718,132.293,27.949789473684213,-61.54100000000001,0.7682105263157872,-31.903298245614042,0.6063508771929816,4.0
2016-05,1364583,5001438.0,736547.0,5737985.0,0.27283813175330773,16,1.02,185.975,28.936,159.10384210526317,28.43263157894737,26.871157894736825,0.503368421052631,-34.558649122807026,0.5801578947368414,5.0
2016-06,1532613,5001438.0,736547.0,5737985.0,0.30643446944658714,17,1.25,197.455,28.206,170.18857894736843,28.15736842105263,27.266421052631586,0.04863157894736858,-2.467807017543867,0.4400701754385956,6.0
2016-07,1585341,5001438.0,736547.0,5737985.0,0.3169770374040426,18,1.57,173.401,28.027,177.9814210526316,27.839684210526315,-4.5804210526315785,0.18731578947368632,16.519052631578944,0.24643859649122865,7.0
2016-08,1701833,5001438.0,736547.0,5737985.0,0.3402687387107468,19,1.91,156.218,28.067,181.2001052631579,27.69105263157895,-24.982105263157905,0.3759473684210519,-0.7653684210526327,0.20396491228070227,8.0
2016-09,1715085,5001438.0,736547.0,5737985.0,0.3429183766748683,20,2.21,196.807,27.7,194.26363157894738,27.634315789473685,2.5433684210526053,0.06568421052631379,-9.006385964912292,0.20964912280701734,9.0
2016-10,1677873,5001438.0,736547.0,5737985.0,0.3354781164936964,21,2.47,257.111,27.381,236.39394736842104,27.58478947368421,20.71705263157895,-0.20378947368421052,-0.573894736842116,0.07928070175438506,10.0
2016-11,1574938,5001438.0,736547.0,5737985.0,0.31489703561255783,22,2.64,296.892,27.322,322.901947368421,27.264,-26.009947368421024,0.05799999999999983,-0.9165087719298223,-0.026701754385965632,11.0
