model,adj_r2,test_rmse,test_dir_hit,beta[TAVG_DEV_10m],p[TAVG_DEV_10m],beta[TAVG_HEAT_10m],p[TAVG_HEAT_10m],beta[TAVG_COLD_10m],p[TAVG_COLD_10m]
Symmetric (TAVG_DEV),0.6271513246179372,0.04451457671634002,0.8214285714285714,-0.024230131953566072,0.09839511671009207,,,,
Heat only (>=0),0.627082528698498,0.04891182455810568,0.8214285714285714,,,-0.03677464653251851,0.1001336270529632,,
Cold only (<=0),0.6225335713966516,0.03907908334816225,0.8214285714285714,,,,,-0.022238109038241527,0.35191749009123763
Asymmetric (heat+cold),0.6253965787453523,0.04744591087757547,0.8214285714285714,,,-0.03371900730175363,0.1435686372340106,-0.013726321200682151,0.5749125126146176
